,location,price,beds
352,minneapolis-mn,1100,1
353,minneapolis-mn,1035,1
354,minneapolis-mn,875,1
355,minneapolis-mn,950,1
356,minneapolis-mn,1245,1
357,minneapolis-mn,995,1
358,minneapolis-mn,540,2
359,minneapolis-mn,1095,1
360,minneapolis-mn,900,1
361,minneapolis-mn,845,1
362,minneapolis-mn,799,1
363,minneapolis-mn,1319,2
364,minneapolis-mn,1289,2
365,minneapolis-mn,1357,1
366,minneapolis-mn,999,1
367,minneapolis-mn,830,1
368,minneapolis-mn,1645,1
369,minneapolis-mn,1245,1
370,minneapolis-mn,1480,1
371,minneapolis-mn,1090,1
372,minneapolis-mn,1711,1
373,minneapolis-mn,1175,1
374,minneapolis-mn,1250,1
375,minneapolis-mn,1375,1
376,minneapolis-mn,1125,1
377,minneapolis-mn,800,1
378,minneapolis-mn,875,1
379,minneapolis-mn,1200,1
380,minneapolis-mn,1291,1
381,minneapolis-mn,1185,1
382,minneapolis-mn,995,1
383,minneapolis-mn,1325,1
384,minneapolis-mn,1335,2
385,minneapolis-mn,925,1
386,minneapolis-mn,1155,1
387,minneapolis-mn,899,1
388,minneapolis-mn,900,1
389,minneapolis-mn,1300,1
390,minneapolis-mn,975,1
391,minneapolis-mn,975,1
392,minneapolis-mn,795,1
393,minneapolis-mn,795,1
394,minneapolis-mn,1185,1
395,minneapolis-mn,900,1
396,minneapolis-mn,850,1
397,minneapolis-mn,800,1
398,minneapolis-mn,950,1
399,minneapolis-mn,795,1
400,minneapolis-mn,975,1
401,minneapolis-mn,995,1
402,minneapolis-mn,795,1
403,minneapolis-mn,995,1
404,minneapolis-mn,850,1
405,minneapolis-mn,740,1
406,minneapolis-mn,745,1
407,minneapolis-mn,830,1
408,minneapolis-mn,800,1
409,minneapolis-mn,825,1
410,minneapolis-mn,1145,1
411,minneapolis-mn,990,1
412,minneapolis-mn,725,1
413,minneapolis-mn,700,1
414,minneapolis-mn,1600,1
415,minneapolis-mn,1250,1
416,minneapolis-mn,1264,2
417,minneapolis-mn,1140,2
418,minneapolis-mn,920,1
419,minneapolis-mn,695,4
420,minneapolis-mn,890,1
421,minneapolis-mn,800,1
422,minneapolis-mn,1650,1
423,minneapolis-mn,1290,2
424,minneapolis-mn,2500,4
425,minneapolis-mn,3600,5
426,minneapolis-mn,2800,5
427,minneapolis-mn,2490,6
428,minneapolis-mn,2250,5
429,tampa-fl,1600,2
430,tampa-fl,1874,1
431,tampa-fl,1730,1
432,tampa-fl,1650,2
433,tampa-fl,2057,1
434,tampa-fl,1960,1
435,tampa-fl,2212,1
436,tampa-fl,3058,2
437,tampa-fl,2205,1
438,tampa-fl,1811,1
439,tampa-fl,2238,1
440,tampa-fl,2360,1
441,tampa-fl,2015,1
442,tampa-fl,1687,1
443,tampa-fl,1965,1
444,tampa-fl,1995,2
445,tampa-fl,2073,1
446,tampa-fl,1925,1
447,tampa-fl,2035,1
448,tampa-fl,2114,1
449,tampa-fl,1335,1
450,tampa-fl,2144,1
451,tampa-fl,1487,1
452,tampa-fl,1537,1
453,tampa-fl,1795,1
454,tampa-fl,1650,2
455,tampa-fl,1225,1
456,tampa-fl,1035,4
457,tampa-fl,649,3
458,tampa-fl,865,1
459,tampa-fl,919,1
460,tampa-fl,849,3
461,tampa-fl,1514,1
462,tampa-fl,1339,1
463,tampa-fl,1079,1
464,tampa-fl,835,1
465,tampa-fl,1689,1
466,tampa-fl,1733,1
467,tampa-fl,1365,1
468,tampa-fl,1890,1
469,tampa-fl,2084,1
470,tampa-fl,1897,1
471,tampa-fl,1540,2
472,tampa-fl,1363,1
473,tampa-fl,1541,1
474,tampa-fl,1537,1
475,tampa-fl,800,3
476,tampa-fl,815,4
477,tampa-fl,1323,1
478,tampa-fl,1210,1
479,tampa-fl,1153,1
480,tampa-fl,1625,2
481,tampa-fl,1882,1
482,tampa-fl,1950,1
483,tampa-fl,1681,1
484,tampa-fl,1025,1
485,tampa-fl,1358,1
486,tampa-fl,1275,2
487,tampa-fl,1050,1
488,tampa-fl,795,3
489,tampa-fl,949,5
490,tampa-fl,1299,1
491,tampa-fl,2082,1
492,tampa-fl,1027,1
493,tampa-fl,687,1
494,tampa-fl,1150,1
495,tampa-fl,1230,3
496,tampa-fl,1185,1
497,tampa-fl,981,1
498,tampa-fl,1230,1
499,tampa-fl,699,2
500,tampa-fl,889,1
501,tampa-fl,875,1
502,tampa-fl,1075,1
503,tampa-fl,595,1
504,tampa-fl,805,1
505,tampa-fl,1075,1
506,tampa-fl,769,1
507,tampa-fl,1975,2
508,tampa-fl,2575,2
509,tampa-fl,1924,1
510,new-york-ny,5435,1
511,new-york-ny,2900,1
512,new-york-ny,4150,1
513,new-york-ny,7250,1
514,new-york-ny,4217,1
515,new-york-ny,5928,1
516,new-york-ny,4605,1
